cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled,city_UKR,city_ENG,admin2Name_ua,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Pcode
Київ,"вул. Липківського Василя митрополита, 1а","Київ, вул. Липківського Василя митрополита, 1а",09:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Лісовий, 39","Київ, просп. Лісовий, 39",09:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Магнітогорська, 1а","Київ, вул. Магнітогорська, 1а",09:00 - 17:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Малевича, 107","Київ, вул. Малевича, 107",07:30 - 21:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Малиновського, 34","Київ, вул. Малиновського, 34",08:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Малиновського, 5","Київ, вул. Малиновського, 5",08:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Маяковського, 43/2","Київ, просп. Маяковського, 43/2",08:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Маяковського, 75/2","Київ, просп. Маяковського, 75/2",08:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Милославська, 10а","Київ, вул. Милославська, 10а",08:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Мишуги Олександра, 4","Київ, вул. Мишуги Олександра, 4",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Мінський, 4а","Київ, просп. Мінський, 4а",09:00 - 17:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Оболонський, 19","Київ, просп. Оболонський, 19",09:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Оболонський, 1Б","Київ, просп. Оболонський, 1Б",09:00 - 19:00,6000,False,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Оболонський, 21Б","Київ, просп. Оболонський, 21Б",09:00 - 19:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Оболонський, 36б","Київ, просп. Оболонський, 36б",09:00 - 17:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"вул. Оленівська, 3","Київ, вул. Оленівська, 3",08:00 - 17:30,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Перемоги, 24","Київ, просп. Перемоги, 24",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Перемоги, 47","Київ, просп. Перемоги, 47",09:00 - 18:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
Київ,"просп. Перемоги, 87","Київ, просп. Перемоги, 87",08:30 - 17:00,6000,True,Київ,Kyiv,Київська,UA8000,Kyivska,Київська,UA80
